fname,totalvol_gm
c1sub-NC150_ses-20190319_acq-highres_run-01_T1w.nii,1279958.000000
c1sub-NC183_ses-20180825_acq-highres_run-01_T1w.nii,1064331.000000
c1sub-NC188_ses-20180825_acq-highres_run-01_T1w.nii,1188919.000000
c1sub-NC189_ses-20180825_acq-highres_run-01_T1w.nii,1033768.000000
c1sub-NC216_ses-20180508_acq-highres_run-01_T1w.nii,1065460.000000
c1sub-NC225_ses-20180802_acq-highres_run-01_T1w.nii,1206302.000000
c1sub-NC227_ses-20180830_acq-highres_run-01_T1w.nii,1176014.000000
c1sub-NC231_ses-20190416_acq-highres_run-01_T1w.nii,912501.000000
c1sub-NC232_ses-20190430_acq-highres_run-01_T1w.nii,949125.000000
c1sub-NC233_ses-20190512_acq-highres_run-01_T1w.nii,1129331.000000
c1sub-NC234_ses-20190519_acq-highres_run-01_T1w.nii,1049173.000000
c1sub-NC235_ses-20190606_acq-highres_run-01_T1w.nii,941825.000000
c1sub-NC236_ses-20190618_acq-highres_run-01_T1w.nii,1150908.000000
c1sub-NC237_ses-20190625_acq-highres_run-01_T1w.nii,1020271.000000
c1sub-NC239_ses-20190702_acq-highres_run-01_T1w.nii,1024248.000000
c1sub-NC240_ses-20190702_acq-highres_run-01_T1w.nii,1225430.000000
c1sub-NC242_ses-20190708_acq-highres_run-01_T1w.nii,947086.000000
c1sub-NC243_ses-20190711_acq-highres_run-01_T1w.nii,933802.000000
c1sub-NC244_ses-20190715_acq-highres_run-01_T1w.nii,956325.000000
c1sub-NC245_ses-20190716_acq-highres_run-01_T1w.nii,1109529.000000
c1sub-NC246_ses-20190716_acq-highres_run-01_T1w.nii,1155725.000000
c1sub-NC247_ses-20190808_acq-highres_run-01_T1w.nii,1261261.000000
c1sub-NC248_ses-20190811_acq-highres_run-01_T1w.nii,1273257.000000
c1sub-NC249_ses-20190813_acq-highres_run-01_T1w.nii,1075855.000000
c1sub-NC250_ses-20190814_acq-highres_run-01_T1w.nii,1139669.000000
c1sub-NC251_ses-20190815_acq-highres_run-01_T1w.nii,931077.000000
c1sub-NC252_ses-20190818_acq-highres_run-01_T1w.nii,927562.000000
c1sub-NC254_ses-20190825_acq-highres_run-01_T1w.nii,953466.000000
c1sub-NC255_ses-20190826_acq-highres_run-01_T1w.nii,1256266.000000
